dataset,instruction,input,output,alternative_a,alternative_b,alternative_c,alternative_d
MedQA (USMLE),"Uma mulher de 45 anos apresenta dispneia de início súbito. Seu histórico médico é significativo para varizes em seus membros inferiores, diabetes mellitus tipo 2 bem controlado e um histórico de tabagismo de 25 anos. A paciente atualmente toma metformina e pioglitazona. A história familiar é significativa para sua irmã que morreu aos 35 anos devido a uma embolia pulmonar. Sua temperatura é de 37,8°C, o pulso é de 111/min, as respirações são de 18/min e a pressão arterial é de 130/60 mm Hg. No exame físico, a paciente está pálida e sudorética. O exame cardíaco é significativo para uma terceira bulha. Há eritema e edema em várias varizes em sua perna esquerda. O ultrassom de sua perna esquerda é positivo para uma trombose venosa profunda. A paciente é internada e a anticoagulação é iniciada com um inibidor de vitamina K. No entanto, apesar dessas intervenções, ela morre pouco tempo após a internação. Qual das seguintes foi a etiologia mais provável da condição dessa paciente?",,C,Microembolismo periférico distal,Fasciite necrosante,Deficiência de proteína S,Macroglobulinemia de Waldenström
MedQA (USMLE),"Um menino de 7 anos é levado à clínica pela mãe com aumento progressivo do inchaço de sua mandíbula direita nos últimos 2 meses. Ela relata que ele foi tratado várias vezes com diferentes antibióticos, mas que eles não ajudaram. Ela não relata histórico recente de febre, calafrios ou suores noturnos. O menino não tem histórico médico significativo. Ele emigrou para os Estados Unidos com sua família da Nigéria há 1 mês. Ele está no percentil 85 para altura e peso, e ele tem atingido todos os marcos de desenvolvimento. Sua temperatura é de 37,8℃ (100,0℉). No exame físico, o paciente apresenta uma massa proeminente de 8 × 8 cm sobre a mandíbula direita. A massa distorce parcialmente as bordas da mandíbula e da bochecha. A pele sobrejacente está eritematosa. A massa é firme, imóvel e dolorosa. O lado contralateral do rosto não apresenta anormalidades. Um exame oral mostra a interrupção dos dentes inferiores ipsilaterais e da mucosa oral. O restante do exame físico é normal. Uma biópsia da massa é realizada e uma análise histopatológica é vista na imagem. Qual dos seguintes microrganismos está mais provavelmente associado à condição deste paciente?",,C,Bartonella henselae,Citomegalovírus (CMV),Vírus Epstein-Barr (EBV),Yersinia pestis
MedQA (USMLE),"Um menino de 3 anos foi levado ao pediatra com lacerações graves nos lábios, com uma parte de sua língua parecendo ter sido mordida, além de porções ausentes dos dedos de sua mão direita. O histórico familiar é notável por dois casos semelhantes em primos do sexo masculino do lado da mãe. Uma análise de urina revelou um alto nível de ácido úrico. Qual é o modo de herança para esse distúrbio?",,A,Recessivo ligado ao X,Dominante ligado ao X,Dominante autossômico,Defeito mitocondrial herdado maternamente
MedQA (USMLE),"Uma mulher assintomática de 65 anos é encontrada com um escore T de -2,6 DP em uma triagem de densidade mineral óssea de rotina. Ela tem um histórico de 10 anos de hipertensão e uma estenose esofágica devido a doença grave de refluxo gastroesofágico. Ela foi diagnosticada com hiperplasia endometrial há 20 anos e tratada com medroxiprogesterona. A menarca começou aos 11 anos de idade e seu último período menstrual foi há 8 anos. Sua última mamografia e exame de Papanicolau há 6 meses não mostraram anormalidades. Sua mãe morreu de câncer de mama aos 45 anos. A paciente não tem filhos. Os medicamentos atuais incluem lansoprazol e hidroclorotiazida. Sua pressão arterial é de 135/85 mm Hg. O exame físico não mostra anormalidades. O tratamento é iniciado com um medicamento que previne a reabsorção óssea e reduz o risco de desenvolver câncer de mama. Este medicamento a coloca em risco aumentado de qual dos seguintes efeitos adversos?",,D,Infecções de pele,Osteossarcoma,Hipercolesterolemia,Trombose venosa profunda
MedQA (USMLE),"Uma mulher de 28 anos, gravida 1, para 0, com 20 semanas de gestação, vai ao médico com seu marido para uma visita pré-natal. Sua gravidez tem sido sem complicações. Eles planejam viajar para a Etiópia no próximo mês para visitar a família do marido. Os medicamentos incluem ácido fólico e um suplemento de ferro. Os sinais vitais estão dentro da faixa normal. O exame abdominal mostra um útero consistente com uma gestação de 20 semanas. Qual dos seguintes medicamentos é mais adequado para profilaxia pré-exposição contra malária?",,B,Doxiciclina,Mefloquina,Cloroquina,Proguanil
MedQA (USMLE),"Um homem de 26 anos se apresenta ao consultório reclamando de dor epigástrica persistente nos últimos 2 meses. Ele afirma que sua dor piora algumas horas depois de comer. Seu pai teve sintomas semelhantes. Histórico médico anterior é insignificante. Ele não fuma e não bebe álcool. Os sinais vitais incluem pressão arterial 120/90 mm Hg, frequência cardíaca 83/min e temperatura 37,0°C (98,6°F). O exame físico é insignificante, exceto por leve sensibilidade epigástrica. Um painel metabólico revela o seguinte: Sódio sérico 136 mEq/L, Potássio sérico 4,2 mEq/L, Cálcio 13,2 mg/dL, Bicarbonato 26 mEq/L. A endoscopia gastrointestinal alta revela múltiplas úlceras duodenais. Qual dos seguintes é o diagnóstico mais provável?",,D,Doença do refluxo gastroesofágico,"Adenocarcinoma gástrico, tipo intestinal",VIPoma,MEN1
MedQA (USMLE),"Os pais de um menino de 16 anos com diabetes mellitus tipo 1 estão solicitando informações sobre o medicamento exenatida, um medicamento injetável que só precisa ser administrado uma vez por semana. Os níveis de glicose no sangue do paciente têm sido difíceis de controlar com seu regime atual de insulina devido à adesão inadequada à terapia recomendada, e ele tem tido dificuldade em ganhar peso apesar de comer copiosamente. O paciente está afebril e seus sinais vitais estão dentro dos limites normais. Seu índice de massa corporal (IMC) é de 19 kg/m2. Qual das seguintes opções descreve melhor por que o paciente não deve ser trocado para exenatida?",,A,A produção de insulina pelo pâncreas é insuficiente para que a exenatida seja eficaz.,"A exenatida suprime a secreção de glucagon, o que aumenta o risco de hipoglicemia.",A supressão do apetite torna ainda mais difícil para ele ganhar peso.,A exenatida é contraindicada em crianças abaixo de 18 anos.
MedQA (USMLE),Qual é a causa mais provável do derrame dessa paciente?,,B,Adenocarcinoma brônquico,Mesotelioma,Síndrome nefrótica,Insuficiência cardíaca congestiva
MedQA (USMLE),"Uma mulher de 25 anos procura o médico devido a sangramento menstrual irregular. A menstruação ocorre em intervalos de 30 a 90 dias desde a menarca aos 12 anos de idade. Seu último período menstrual foi há 6 semanas. Ela é sexualmente ativa com seu marido e eles não usam preservativos. Não há histórico pessoal ou familiar de doença grave. Ela tem 170 cm de altura e pesa 73 kg; o IMC é de 25,3 kg/m2. Seus sinais vitais estão dentro dos limites normais. O exame mostra pele oleosa e acne grave no rosto. Há pelos escuros no lábio superior e ao redor dos mamilos. Os exames laboratoriais mostram: Sulfato de dehidroepiandrosterona 6,2 μg/mL (N=0,5–5,4) Hormônio folículo-estimulante 20 mIU/mL Hormônio luteinizante 160 mIU/mL Testosterona 4,1 nmol/L (N < 3,5) Um teste de gravidez na urina é negativo. Qual dos seguintes testes é o próximo passo mais apropriado para rastrear comorbidades nessa paciente?",,C,Medições dos níveis de 17-hidroxiprogesterona e cortisol,Medição do nível de CA-125,Medições dos níveis de glicose no sangue e colesterol,Medições dos níveis de TSH e T4
MedQA (USMLE),"Uma mulher de 51 anos vai fazer um teste de função respiratória para avaliar sua falta de ar. Ela recentemente se juntou a um programa de caminhada com suas amigas para perder peso; no entanto, ela percebeu que não conseguia acompanhar suas amigas durante o programa. Ela tem um histórico de 60 anos de embalagem de cigarros, bem como hipertensão controlada com medicação. Os seguintes parâmetros representam a anatomia e função respiratória desta paciente:

Capacidade vital (CV): 5.000 mL
Volume de reserva inspiratória (VRI): 2.500 mL
Capacidade de reserva funcional (CRF): 2.700 mL
Volume residual (VR): 1.000 mL
Volume das vias aéreas superiores: 100 mL
Volume das vias aéreas condutoras: 125 mL

Pressão inspirada de CO2 (PiCO2): 1 mmHg
Pressão arterial de CO2 (PaCO2): 50 mmHg
Pressão expirada de CO2 (PeCO2): 20 mmHg

Qual dos seguintes representa melhor o volume total de gás nas vias aéreas e pulmões desta paciente que não participa da troca gasosa?
A)480 mL
B)600 mL
C)800 mL
D)1200 mL",,A,480 mL,600 mL,800 mL,1200 mL
MedQA (USMLE),"Uma mulher de 44 anos procura o médico devido a uma história de 6 meses de fadiga, febre intermitente, perda de peso de 4,0 kg e tosse progressiva e não produtiva. Ela não fuma. O exame físico mostra sibilos leves nos campos pulmonares bilaterais e linfonodos supraclaviculares e cervicais aumentados. Uma tomografia computadorizada do tórax é mostrada. Uma amostra de biópsia de um linfonodo cervical mostra histiócitos epitelioides organizados e células gigantes multinucleadas sem necrose focal. O tratamento inicial da condição dessa paciente deve incluir qual dos seguintes medicamentos?",,D,Cisplatina,Lamivudina,Isoniazida,Prednisona
MedQA (USMLE),"Uma mulher nulípara de 55 anos procura o médico devido a um histórico de 3 dias de sangramento vaginal intenso, necessitando de mais de 5 absorventes por dia. A menopausa ocorreu há 1 ano. Ela teve menarca aos 10 anos de idade. Ela tem histórico de hipotireoidismo e diabetes mellitus tipo 2. Ela fumava 1 maço de cigarros por dia durante 20 anos, mas parou há 5 anos. Os medicamentos atuais incluem levotiroxina e metformina. Ela tem 165 cm de altura e pesa 86 kg; o IMC é de 32 kg/m2. O exame físico mostra atrofia vaginal leve e um colo do útero normal. O útero e os anexos são indolores à palpação. A ultrassonografia transvaginal mostra uma espessura endometrial de 6 mm. A biópsia endometrial mostra proliferação não invasiva de glândulas endometriais sem atipia nuclear ou citológica. Qual dos seguintes é o próximo passo mais apropriado no tratamento?",,D,Histerectomia total,Creme vaginal de estrogênio,Reasseguramento e acompanhamento,Terapia com progestina
MedQA (USMLE),"Uma mulher de 37 anos com uma infecção por HIV vai ao médico para uma consulta de acompanhamento. Seis meses atrás, foi iniciada uma terapia antirretroviral combinada consistindo de dolutegravir, tenofovir e emtricitabina. Estudos laboratoriais mostram uma diminuição na contagem de CD4 e um aumento na carga viral apesar do tratamento contínuo. A paciente é trocada para um novo esquema de tratamento, incluindo um medicamento que atua prevenindo a síntese do DNA viral sem passar por fosforilação intracelular. Qual dos seguintes é o medicamento mais provável?",,A,Efavirenz,Ritonavir,Raltegravir,Lamivudina
MedQA (USMLE),Uma garota de 14 anos apresenta queda repentina do lado direito do rosto com salivação e lacrimejamento excessivo. A mãe da paciente diz que ela esteve recentemente no norte do Maine e passou a maior parte do tempo ao ar livre durante a viagem. O exame físico revela uma leve assimetria dos músculos faciais com incapacidade de assobiar ou fechar o olho direito. Uma erupção vermelha circular com clareamento central está presente no tronco. Também há diminuição da sensação de paladar. Qual dos seguintes provavelmente transmitiu o organismo responsável pela doença desta paciente?,,A,Ixodes scapularis,Tsetse fly,Culicidae,Anopheles
MedQA (USMLE),"Um homem de 66 anos com pressão alta, colesterol alto e diabetes se apresenta à clínica com testes de função hepática elevados em relação à linha de base. Ele tem uma pressão arterial de 136/92 mm Hg e uma frequência cardíaca de 69/min. No exame físico, seus sons cardíacos são regulares e os sons pulmonares estão claros. Os medicamentos atuais incluem simvastatina, metformina, fenofibrato, hidroclorotiazida, aspirina, gliburida e lisinopril. Dos medicamentos, qual poderia contribuir para a transaminase do paciente?",,B,Metformina,Simvastatina,Gliburida,Lisinopril
MedQA (USMLE),"Um recém-nascido de 7 dias de idade se apresenta ao departamento de emergência com histórico de febre, irritabilidade e eritema generalizado. Durante os primeiros 2 dias de manifestações clínicas, os pais da criança tentaram controlar os sintomas usando acetaminofeno; no entanto, o recém-nascido continuou doente e bolhas foram perceptíveis ao redor das nádegas, mãos e pés. Durante o exame físico, os sinais vitais incluem temperatura corporal de 39,0°C (102,3°F), frequência cardíaca de 130/min e frequência respiratória de 45/min. Ouvidos, nariz e mucosa oral preservaram sua integridade, enquanto a pele apresenta eritema difuso e bolhas flácidas com sinal de Nikolsky positivo. Qual é o diagnóstico mais provável neste paciente?",,B,Febre escarlate,Síndrome da pele escaldada,Impetigo,Pioderma
MedQA (USMLE),"Uma mulher de 60 anos se apresenta à clínica ambulatorial queixando-se de coceira vulvar intensa que piorou gradualmente no último ano. Ela menciona que tentou lubrificantes de venda livre, mas eles não parecem proporcionar alívio substancial. Seu histórico médico é notável por diabetes mellitus tipo 2 controlado por dieta e hipertensão tratada com hidroclorotiazida. A menopausa ocorreu aos 52 anos. Ela tem sido sexualmente ativa com seu marido até recentemente e relata dor intensa durante a relação sexual vaginal. O exame físico revela lesões secas, finas e semelhantes a placas na área vulvar, com atrofia dos lábios menores. O clitóris parece retraído. A pele perianal parece pálida e enrugada. Qual dos seguintes é o diagnóstico mais provável?",,B,Hiperplasia de células escamosas,Líquen escleroso,Carcinoma de células escamosas da vulva,Líquen plano
MedQA (USMLE),"Uma mulher de 50 anos com Lúpus Eritematoso Sistêmico (LES) se apresenta à sua clínica com queixas de dor no olho esquerdo e visão reduzida. Ela relata que estava em seu estado de saúde habitual até 3 dias antes da apresentação, quando notou uma leve sensibilidade ao redor do olho esquerdo, não aliviada por analgésicos. Esta manhã, quando acordou, ela não conseguia enxergar com o olho esquerdo e marcou uma consulta para vir vê-lo. Além do LES, seu histórico médico é insignificante. Ela não apresentou outros sintomas além de dor e perda de visão. Seus sinais vitais estão todos dentro dos limites normais. No exame, ela não tem visão no olho esquerdo, mas acuidade visual de 20/30 no olho direito. Quando você ilumina o olho esquerdo dela, não há resposta. Que resposta você esperaria quando iluminar o olho direito dela?",,A,Miose bilateral,Miose apenas no olho direito,Miose apenas no olho esquerdo,Midríase do olho esquerdo
MedQA (USMLE),"Uma mulher de 25 anos se apresenta ao departamento de emergência com dor abdominal. Ela relata que estava subindo as escadas no trabalho quando sentiu uma dor abdominal súbita e intensa, seguida de náuseas e vômitos. Seu histórico médico anterior não é relevante e ela não está tomando nenhum medicamento no momento. Sua temperatura é de 99,7°F (37,6°C), pressão arterial é de 122/78 mmHg, pulso é de 120/min, respirações são de 17/min e saturação de oxigênio é de 98% em ar ambiente. O exame físico é notável pela ausência de sensibilidade abdominal, uma massa anexial esquerda e sensibilidade anexial esquerda. Uma ultrassonografia transvaginal demonstra líquido livre ao redor do ovário com edema e presença de fluxo doppler. O teste de gravidez urinária é negativo. Os sintomas da paciente persistiram após o uso de ibuprofeno e acetaminofeno. Qual dos seguintes é o melhor próximo passo no tratamento?",,A,Laparoscopia,Laparotomia,RM da pelve,Observação e exames abdominais seriados
MedQA (USMLE),"Um homem de 65 anos procura o médico devido a fadiga progressivamente piora por 6 meses. Durante esse tempo, ele também teve falta de ar e palpitações ao se exercitar. Ele notou sangue nas fezes em três ocasiões separadas nos últimos 4 meses. Ele tem diabetes mellitus tipo 2 e doença renal em estágio terminal. Ele bebe de dois a quatro cervejas diariamente. Ele não fuma. Seu pulso é de 95/min e a pressão arterial é de 120/70 mm Hg. O exame mostra conjuntivas pálidas. O abdômen é macio, sem organomegalia. O exame retal é normal. A concentração de hemoglobina é de 7,2 g/dL, o hematócrito é de 32% e o volume corpuscular médio é de 68 μm3. Qual das seguintes é a causa subjacente mais provável do sangramento deste paciente?",,D,Inflamação em uma saliência da parede do cólon,Aumento sintomático do plexo hemorroidário,Inflamação crônica da mucosa e submucosa do cólon,Malformação arteriovenosa na parede do cólon
MedQA (USMLE),"Uma mulher de 24 anos vai ao departamento de emergência com seu namorado 2 horas após um episódio de perda de consciência. Ela estava sentada e estava sendo tatuada em sua parte superior direita do flanco quando ficou diaforética, pálida e desmaiou. De acordo com seu namorado, a paciente escorregou para o chão e seus braços e pernas se moveram de forma brusca por alguns segundos. Ela recuperou a consciência em cerca de meio minuto e estava alerta e totalmente orientada imediatamente. Ela não tem histórico de doença grave. Ela trabalha como gerente de eventos e teve mais estresse do que o habitual devido a uma recente turnê de concertos. Ela parece bem. Sua temperatura é de 37°C (98,4°F), pulso é de 68/min, respirações são de 16/min e pressão arterial é de 120/72 mm Hg. Seu exame cardiopulmonar não mostra anormalidades. O exame neurológico não mostra achados focais. Um ECG mostra um bloqueio de ramo direito incompleto. Qual dos seguintes é o diagnóstico mais provável?",,A,Síncope vasovagal,Síncope ortostática,Arritmia cardíaca,Anormalidade estrutural cardíaca
MedQA (USMLE),"Um menino de 15 anos é levado ao departamento de emergência 1 hora após cair de sua bicicleta. O menino estava correndo com seu primo quando perdeu o controle e caiu do lado direito. Ele está com náuseas e dor intensa no ombro direito. Ele está em angústia aguda. Sua temperatura é de 37°C (98,6°F), pulso é de 85/min, respirações são de 15/min e pressão arterial é de 135/85 mm Hg. O exame mostra inchaço e sensibilidade sobre a clavícula direita e dor exacerbada pelo movimento; a amplitude de movimento é limitada. A pele sobre a clavícula está intacta. O pulso radial no braço direito está intacto. O exame sensorial do membro superior direito não apresenta anormalidades. Uma radiografia do tórax é mostrada. Qual dos seguintes é o próximo passo mais apropriado no tratamento do ombro deste paciente?",,B,Realizar bandagem de tensão,Aplicar uma tipoia simples para o ombro,Obter uma ressonância magnética do ombro direito,Realizar arteriografia
MedQA (USMLE),"Um homem de 51 anos é levado ao médico por sua esposa devido a um histórico de 3 semanas de comportamento anormal. Sua esposa relata que ele está obcecado por jogos de azar no cassino local. Ele fica inquieto e irritado quando sua esposa tenta restringir seu jogo. Quatro meses atrás, ele foi diagnosticado com doença de Parkinson e o tratamento foi iniciado. Qual das seguintes opções descreve melhor o mecanismo de ação do medicamento que provavelmente foi prescrito para este paciente?",,B,Inibição periférica da DOPA descarboxilase,Ativação direta dos receptores de dopamina,Inibição seletiva da monoamina oxidase B,Inibição da catecol-O-metil transferase
MedQA (USMLE),"Uma mulher de 55 anos, sem histórico médico significativo, procura seu médico de cuidados primários com febre, fadiga e sangramento nas gengivas nos últimos 3 dias. Ela nega qualquer contato com pessoas doentes. Sua temperatura é de 101°F (38,3°C), pressão arterial é de 110/70 mmHg, pulso é de 96/min e respirações são de 15/min. O exame físico revela várias petéquias mucosas orais, sangramento nas gengivas, linfadenopatia submandibular bilateral e hepatosplenomegalia. A investigação laboratorial inicial mostra o seguinte:

Contagem e diferencial de leucócitos:
Contagem de leucócitos: 6.600/mm^3
Neutrófilos segmentados: 60%
Bastões: 20%
Eosinófilos: 9%
Basófilos: 1%
Linfócitos: 0%
Monócitos: 10%
Contagem de plaquetas: 99.000/mm^3

Hemoglobina: 8,1 g/dL
Hematócrito: 25%

Tempo de protrombina: 25 seg
Tempo de tromboplastina parcial: 50 seg
Razão internacional normalizada: 1,6
D-dímero: 2.000 µg/mL
Fibrinogênio: 99 mg/dL

Uma biópsia da medula óssea demonstra 34% de mieloblastos com bastonetes de Auer que são positivos para mieloperoxidase. Qual é a melhor opção de tratamento?",,C,Ácido ascórbico,Plasma fresco congelado,Ácido retinóico,Ácido zoledrônico
MedQA (USMLE),"Um homem de 30 anos se apresenta ao pronto-socorro reclamando de mal-estar. Duas horas antes da apresentação, ele desenvolveu cãibras musculares e náuseas. Ele teve 3 episódios de fezes aquosas não sanguinolentas desde o início dos sintomas. Ele relata que já teve sintomas semelhantes várias vezes nos últimos 5 anos desde que começou a trabalhar em seu zoológico local como cuidador de répteis. Seu histórico médico é normal. Ele toma óleo de peixe e um multivitamínico diariamente. Sua temperatura é de 101°F (38,3°C), pressão arterial é de 130/90 mmHg, pulso é de 90/min e respirações são de 17/min. No exame, ele demonstra sensibilidade à luz intensa. Ele parece cansado, mas alerta e totalmente orientado. Uma amostra de fezes e cultura demonstra bacilos gram-negativos abundantes, não fermentadores de lactose, oxidase-negativos e produtores de H2S. O patógeno responsável pela condição deste paciente depende de um fator de virulência com qual dos seguintes mecanismos de ação?",,B,ADP ribosilação do fator de elongação 2,Bloqueio do ataque de anticorpos ao antígeno O,Clivagem de moléculas de imunoglobulina A,Clivagem de lecitina
MedQA (USMLE),"Um homem de 62 anos é levado ao médico por sua esposa devido a dificuldades para caminhar nos últimos anos. Ele teve várias quedas nos últimos 4 meses. Nos últimos 6 meses, ele tem tido urgência urinária progressiva e agora usa fraldas de adultos, pois nem sempre consegue controlar a vontade de urinar. Seu apetite também diminuiu nesse período. Ele costumava dirigir, mas sua esposa o convenceu a parar depois de perceber que ele estava ficando cada vez mais desatento ao dirigir. Ele tem diabetes mellitus tipo 2 e hipertensão. Os medicamentos atuais incluem ramipril e metformina. Sua temperatura é de 37,1°C (98,8°F), pulso é de 90/min e pressão arterial é de 132/88 mm Hg. O exame mostra uma marcha de base ampla com passos lentos e curtos. O exame neurológico não mostra achados focais. No exame do estado mental, ele está orientado quanto à pessoa e ao local, mas não quanto ao tempo. A atenção e a concentração estão prejudicadas. Ele lembra apenas um dos três objetos após 5 minutos. Qual das seguintes terapias é a mais apropriada para os sintomas desse paciente?",,A,Derivação ventricular,Terapia com acetazolamida,Lobectomia temporal,Terapia com donepezila
MedQA (USMLE),"Uma mulher de 40 anos com síndrome de Down procura o médico para avaliação de fadiga, dificuldade progressiva ao usar as mãos e dificuldade para caminhar há 3 meses. Durante esse período, a paciente teve vários episódios de tontura, bem como visão dupla. Ela também relata que perdeu o controle da bexiga em várias ocasiões recentemente. Ela não teve nenhum trauma ou alteração de peso. Ela mora com a irmã e trabalha como caixa em uma loja de varejo local. Ela não toma nenhum medicamento. Seus sinais vitais estão dentro dos limites normais. No exame do estado mental, ela está orientada apenas para pessoa e lugar. Há fraqueza moderada nos membros superiores e inferiores. O exame sensorial não mostra anormalidades. Os reflexos tendinosos profundos são 3+ bilateralmente. O sinal de Babinski está presente bilateralmente. Qual das seguintes opções provavelmente melhoraria os sintomas dessa paciente?",,B,Administração de antitoxina botulínica,Fusão cirúrgica de C1/C2,Administração de metilprednisolona,Administração de piridostigmina
MedQA (USMLE),"Uma mulher de 74 anos com histórico de hipertensão, hiperlipidemia e diabetes mellitus tipo 2 é levada ao seu médico de cuidados primários por seu filho, que está preocupado com a capacidade da paciente de cuidar de suas atividades diárias. Ela tem vivido sozinha desde que seu marido faleceu há 2 anos. Ela tem sido uma membro ativa do clube do vinho de sua comunidade de aposentados; no entanto, ela parou de frequentar as reuniões há 3 semanas. Ela geralmente consegue manter sua casa, mas sua casa parece mais desorganizada nas últimas 2 semanas. Ela geralmente dirige curtas distâncias, mas evita dirigir longas distâncias, pois ocasionalmente se perde ao navegar em áreas novas. Ela sente que seu equilíbrio está piorando, mas não caiu. Ela notou aumento na urgência urinária nos últimos 8 meses e teve 2 episódios de incontinência. Apesar dessas mudanças, ela relata sentir-se bem. Ela bebe de 4 a 6 copos de vinho por dia. Ela começou a tomar vários medicamentos para ansiedade piorada por seu psiquiatra há 1 mês. Seu IMC é de 31 kg/m^2. Sua temperatura é de 99,8°F (37,7°C), pressão arterial é de 115/65 mmHg, pulso é de 95/min e respirações são de 17/min. No exame, ela está orientada quanto à pessoa e ao tempo, mas não quanto ao lugar ou situação. Ela não parece reconhecer seu médico, apesar de conhecê-lo há muitos anos. Ela fica sonolenta intermitentemente durante a entrevista. Ela consegue lembrar 0/3 palavras após 5 minutos. Ela tem um tremor de baixa frequência em seu braço direito que aumenta de intensidade com movimentos deliberados. Qual dos seguintes é o diagnóstico mais provável nessa paciente?",,B,Demência de Alzheimer,Delirium,Demência de corpos de Lewy,Hidrocefalia de pressão normal
MedQA (USMLE),"Um homem de 45 anos com histórico de diabetes e hipertensão mal controlada se apresenta ao seu médico de cuidados primários para um check-up anual. Ele relata que se sente bem e não tem queixas. Ele toma enalapril e metformina. Sua temperatura é de 98,8°F (37,1°C), pressão arterial é de 155/90 mmHg, pulso é de 80/min e respirações são de 16/min. Seu médico adiciona outro medicamento anti-hipertensivo à rotina do paciente. Um mês depois, o paciente retorna ao médico reclamando de inchaço novo nos membros inferiores. Qual dos seguintes medicamentos provavelmente foi prescrito para este paciente?",,C,Metoprolol,Verapamil,Nifedipina,Hidroclorotiazida
MedQA (USMLE),"Uma mulher de 29 anos procura o médico com febre alta, dor de cabeça e dor muscular. Uma semana atrás, ela voltou da Índia, onde estava trabalhando com uma ONG para construir casas em áreas rurais. A paciente tomou uma dose de cloroquina uma semana antes da viagem. Ela também tomou uma dose adicional durante a viagem. Ela não tem histórico de doença grave. Sua temperatura é de 39,3°C, pulso é de 102/min, respirações são de 22/min e pressão arterial é de 112/78 mm Hg. O exame físico mostra icterícia. O abdômen está macio e indolor. O restante do exame não mostra anormalidades. A concentração de hemoglobina dela é de 10 g/dL e um esfregaço de sangue mostra eritrócitos fragmentados e corpos de inclusão em forma de anel ocasionais dentro dos eritrócitos. Qual das seguintes é a causa mais provável da infecção nesta paciente?",,B,Plasmodium ovale,Plasmodium falciparum,Vírus Chikungunya,Vírus da Hepatite A
MedQA (USMLE),"Uma mulher de 39 anos se apresenta à clínica para seu exame físico anual. Embora ela se sinta geralmente saudável, ela percebeu que ganhou cerca de 9 kg (20 lb) no último ano. Ela segue uma dieta saudável e variada e faz exercícios na academia 4 dias por semana, incluindo 20 minutos de exercício aeróbico. Ao ser questionada mais detalhadamente, ela também relatou fadiga e constipação. Ela nega falta de ar, dor no peito, tontura ou sangue nas fezes. Na clínica, os sinais vitais incluem: pulso 52/min, pressão arterial 110/72 mm Hg e saturação de oxigênio de 99% em ar ambiente. O exame físico é notável apenas pela pele ligeiramente seca. A contagem completa de células sanguíneas (CBC) está dentro dos limites normais. Qual dos seguintes valores laboratoriais é mais provável estar elevado nessa paciente?",,D,Glicose,Triiodotironina (T3),Tiroxina (T4),Hormônio estimulante da tireoide (TSH)
MedQA (USMLE),"Uma mulher de 38 anos procura o médico devido a diarreia persistente e fadiga há 1 mês. Ela teve até 12 evacuações líquidas por dia. Às vezes ela acorda à noite porque precisa defecar. Ela tem inchaço abdominal e cólicas. Ela perdeu 2 kg no último mês. Ela retornou de uma viagem para a Costa Rica há 7 semanas. Ela tem histórico de asma brônquica e bulimia nervosa. Ela trabalha como enfermeira. Ela não fuma e bebe 1-2 cervejas nos fins de semana. Os medicamentos atuais incluem óleo de peixe, um multivitamínico e um inalador de salbutamol. Sua temperatura é de 36,8°C (98,2°F), pulso é de 65/min e pressão arterial é de 100/75 mm Hg. O exame mostra membranas mucosas secas. Os exames abdominal e retal não apresentam alterações. Os exames laboratoriais mostram: Hematócrito 46%, Contagem de leucócitos 6.500/mm3, Contagem de plaquetas 220.000/mm3, Sódio sérico 136 mEq/L, Potássio sérico 3,2 mEq/L, Cloreto sérico 102 mEq/L, HCO3- 33 mEq/L, Magnésio sérico 3,3 mEq/L, Nitrogênio ureico 14 mg/dL, Creatinina 0,8 mg/dL. A ultrassonografia abdominal não mostra anormalidades. A colonoscopia mostra mucosa de cor escura com pontos brancos intercalados. Biópsias da mucosa colônica são obtidas e enviadas para avaliação patológica. Qual das seguintes é a causa mais provável dos sintomas dessa paciente?",,D,Doença celíaca,Tumor carcinoide,VIPoma,Abuso de medicamentos
MedQA (USMLE),"Um estudante universitário de 21 anos procura o médico devido à fadiga diurna há 2 meses. Ele tem problemas para dormir à noite e frequentemente adormece durante as aulas. Recentemente, ele começou a faltar às aulas completamente. Ele vai para a cama entre 23h e 1h, mas não consegue dormir por 2-3 horas. Quando ele acorda às 8h30, ele se sente extremamente sonolento e tenta superar sua fadiga bebendo 2-3 xícaras de café por dia. Ele tira cochilos em vários momentos durante a tarde, muitas vezes por mais de uma hora. Ele parou de assistir vídeos em seu smartphone à noite por sugestões de seus colegas. Ele afirma que tentou pílulas de melatonina sem receita médica e exercícios às 20h sem sucesso. Ele não tem histórico de doenças graves. Ele não fuma. Ele bebe de três a cinco cervejas nos fins de semana. O exame físico não mostra anormalidades. Qual das seguintes é a recomendação mais apropriada para este paciente?",,B,Experimentar diphenhydramine,Parar de fazer exercícios à noite,Bebida alcoólica antes de dormir,Cochilos programados à tarde
